Comp,Att,Pct,Yds,TD,Int,Class
21.0,36.0,58.3,150.0,2.0,0.0,Under
20.0,37.0,54.1,240.0,1.0,3.0,Over
28.0,42.0,66.7,352.0,5.0,0.0,Over
28.0,41.0,68.3,175.0,1.0,0.0,Under
23.0,32.0,71.9,338.0,2.0,1.0,Over
11.0,32.0,34.4,86.0,0.0,4.0,Under
21.0,30.0,70.0,218.0,2.0,3.0,Over
27.0,39.0,69.2,260.0,1.0,1.0,Over
19.0,30.0,63.3,230.0,1.0,0.0,Over
19.0,30.0,63.3,293.0,4.0,1.0,Over
20.0,29.0,69.0,315.0,2.0,0.0,Under
28.0,48.0,58.3,239.0,0.0,0.0,Under
20.0,36.0,55.6,270.0,2.0,1.0,Under
18.0,32.0,56.3,218.0,2.0,1.0,Over
16.0,26.0,61.5,183.0,1.0,0.0,Under
28.0,39.0,71.8,313.0,3.0,0.0,Over
25.0,43.0,58.1,231.0,1.0,2.0,Under
19.0,36.0,52.8,259.0,2.0,0.0,Over
16.0,27.0,59.3,160.0,3.0,0.0,Over
17.0,29.0,58.6,189.0,1.0,0.0,Under
26.0,40.0,65.0,306.0,2.0,1.0,Over
16.0,26.0,61.5,191.0,1.0,1.0,Under
17.0,24.0,70.8,172.0,1.0,0.0,Over
26.0,39.0,66.7,239.0,1.0,0.0,Under
20.0,40.0,50.0,214.0,1.0,0.0,Under
33.0,45.0,73.3,256.0,1.0,2.0,Under
28.0,46.0,60.9,310.0,3.0,1.0,Over
33.0,50.0,66.0,325.0,2.0,0.0,Under
30.0,43.0,69.8,266.0,3.0,0.0,Over
31.0,40.0,77.5,319.0,1.0,0.0,Under
14.0,27.0,51.9,174.0,2.0,1.0,Under
24.0,28.0,85.7,229.0,2.0,0.0,Under
13.0,20.0,65.0,131.0,1.0,0.0,Over
20.0,36.0,55.6,251.0,2.0,1.0,Under
26.0,35.0,74.3,191.0,1.0,1.0,Over
22.0,38.0,57.9,242.0,1.0,0.0,Under
23.0,44.0,52.3,221.0,1.0,4.0,Under
14.0,20.0,70.0,129.0,1.0,0.0,Under
14.0,20.0,70.0,195.0,2.0,0.0,Under
29.0,35.0,82.9,300.0,3.0,0.0,Over
32.0,50.0,64.0,406.0,2.0,0.0,Over
22.0,28.0,78.6,240.0,1.0,0.0,Under
17.0,23.0,73.9,268.0,4.0,0.0,Over
23.0,33.0,69.7,295.0,2.0,0.0,Over
20.0,41.0,48.8,241.0,1.0,1.0,Under
14.0,20.0,70.0,182.0,2.0,0.0,Under
29.0,43.0,67.4,378.0,5.0,0.0,Over
24.0,34.0,70.6,232.0,1.0,1.0,Over
13.0,25.0,52.0,200.0,1.0,1.0,Under
